name,parent,value
Origin,,
McEwan University,Origin,12693
University of Alberta,Origin,29814
University of Calgary,Origin,26182
University of Lethbridge,Origin,7649
Simon Fraser,Origin,12919
Thompson Rivers University,Origin,8317
University of British Columbia,Origin,38417
University of Victoria,Origin,14631
University of Winnipeg,Origin,7542
University of Manitoba,Origin,22456
Dalhousie University,Origin,13615
Saint Mary's University,Origin,5474
McMaster University,Origin,28900
Queen's University,Origin,21400
University of Ottawa,Origin,31700
University of Toronto,Origin,65600
University of Waterloo,Origin,33100
York University,Origin,42900
Concordia University,Origin,21278
McGill University,Origin,23907
Universite de Montreal,Origin,25689
Universite du Sherbrooke,Origin,11973
Universite Laval,Origin,22155
University of Regina,Origin,9822
University of Saskatchewan,Origin,16805